"song count","track count","file no. (full track)","File name (producer_title)","Songwriter/Producer (artist name)","Song title (romanized Japanese / English translation)","excerpt extension no.","Length (in seconds)","LYRICS (original language)","LYRICS (Romanized)","LYRICS (English translation)","LYRICS_de_deepL"
1,1,13,"kikuo_hallelujah","kikuo","Hallelujah Super Idol","_02",15,"世界 宇宙 あげるよ
地球もお月様も君のもの

なんでもかんでもかなえよう 
なぜならあたしはスーパーアイドル","sekai uchuu ageru yo
chikyuu mo o'tsukisama mo kimi no mono

nandemo kandemo kanaeyou 
naze nara atashi wa su-pa-a'idoru","The world, the universe, I'll give them to you.
The Earth and the moon, even they belong to you.

Anything at all, shall we make it all come true?
Because I'm a Super Idol.","Die Welt, das Universum, für dich.
Die Erde und der Mond gehören dir.

Ich werde alles wahr werden lassen
Denn ich bin dein Superidol"
1,2,14,"LIQ_Alice","LIQ","Alice in Black Market","_01",23,"[午前]【00時13分54秒】 視覚を S×D↓
午前【05時30分29秒】 規則的な朝
午前【09時28分04秒】 カレとの約束
午前【10時42分03秒】 手を繋ぎ笑う","[gozen]【reiji juusanpun gojiyonbyou】shikaku wo shatto da'un
gozen【goji sanjuppun nijuukyuubyou】 kisokuteki na asa
gozen【kyuuji jihappun yonbyou】 kare to no yakusoku
gozen【juuji yonjuunifun sanbyou】te wo tsunagi warau","00:13:54 [AM]: Shut down my vision
05:30:29 AM: A systematic morning
09:28:04 AM: Date with my boyfriend
10:42:03 AM: Hold hands and smile","[AM] [00:13:54] Bildmaterial: S x D↓.
AM [05:30:29] Normaler Morgen.
AM [09:28:04] Versprechen an meinen Freund.
AM [10:42:03] Händchen halten und lachen."
,,,,,,"_02",23,"壊れてゆく姿を見せて 
君は僕だけの Marionette
「愚者ノ皆様、御退場ハコチラデ御座イマス。」

終わらない悪夢魅せてあげる
感覚が乱離っちまうまで
「不思議ノ世界ヲ黒デ染メル悪魔ノ計画サァ。」","kowarete yuku sugata wo misete 
kimi wa boku dake no Marionette
「gusha no minasama、gotaijou ha kochirade gozaimasu.」

owaranai akuma misete ageru
kankaku ga ranri cchimau made
「fushigi no sekai wo kuro de someru akuma no keikaku saa.」","Show me the moment you break down, 
my personal marionette
“My dear brainless ladies and gentlemen, you may take your leave this way.”

I shall entrance you with a never-ending nightmare, 
until all your senses fall apart
“It’s the devil’s plan to dye this wondrous world a pitch black color.”","Zeig mir, wie du zusammenbrichst.
Du bist meine eigene Marionette.
""Liebe Narren, hier verlasst ihr uns.""

Ich werde dich mit endlosen Albträumen verzaubern
Bis meine Sinne verwirrt sind.
Des Teufels Plan, die Welt der Wunder schwarz zu machen."
1,2,15,"MARETU_DanceOfLife","MARETU","inochi no odori / The Dance of Life","_01",23,"もう、あんなことや、そんなことも、忘れてみよう。
傷んだ体、病んだあなた、つくりなおそう。
とりどりのお花が、愛と死を紡いでいる
（繋いだ手と手）

悲しい苦しい、現の実に逆らいましょう。
嬉しい楽しい、天の国と繋がりましょう？","mou、an'na koto ya、son'na koto mo、wasurete miyou.
itanda kadara、yanda anata、tsukuri naosou。
toridori no ohana ga、ai to shi wo tsumuide iru
（tsunaida te to te）

kanashii kurushii、gen no jitsu ni saraimashou.
ureshii tanoshii、ten no kuni to tsunagarimashou？","Let's forget about such-and-such.
Let's rebuild your damaged body, your sick body.
The flowers in every color weave together love and death.
(connecting hand to hand)

Sad and bitter, let us defy the fruits of the present.
Let us connect with the heavenly kingdom of joy and happiness.","Lass uns diese und jene Sache vergessen.
Lass uns deinen beschädigten Körper wieder aufbauen, deinen kranken Körper.
Die bunten Blumen weben Liebe und Tod zusammen.
(Hand in Hand).

Traurig und bitter, lass uns den Früchten der Gegenwart trotzen.
Glücklich und freudig, verbinden wir uns mit dem himmlischen Reich."
,,,,,,"_02",29,"いのちのおどりを さあ
踊らせて 踊らせて さあ
その いのちの灯火を
なびかせて なびかせて ねえ

いのちのおどりを さあ
踊らせて 踊らせて さあ
その いのちのきらめきに
触らせて 触らせて ねえ","inochi no odori wo, saa
odorasete, odorasete, saa
sono inochi no  tomoshibi wo
nabikasete, nabikasete, ne'e

inochi no odori wo, saa
odorasete, odorasete, saa
sono inochi no kirameki ni
sawarasete, sawarasete, ne'e","The dance of life, come on.
Let it dance, let it dance, come on.
That light of life
Let it flicker, let it flicker, hey

The dance of life, come on
Let it dance, let it dance, come on
That sparkle of life
Let me touch it, let me touch it, hey","Tanze den Tanz des Lebens. Komm schon.
Lass es tanzen, lass es tanzen, lass es tanzen, komm schon
Lass das Licht des Lebens
Lass es flattern, lass es flattern, hey

Lass den Tanz des Lebens, komm schon
Lass es tanzen, lass es tanzen, lass es tanzen
Lass das Funkeln des Lebens
Lass mich es berühren, lass mich es berühren, hey"
1,1,16,"nashimotoUi_Hyperventilation","NASHIMOTO Ui","Kakokyuu Dansu / Hyperventilation Dance","_01",28,"深夜二時過ぎ 酔いは冷めた
布団かぶれど ノーミソは覚めた
テレビつけても 話題は暗々
眠れもしないまま 朝を待つさ
 
あれ耳澄ましたら 何か聞こえた
祭囃子に似た ひどいノイズ
合わせて しゃがれ声 窓の外で
「ほれ ゾンビの真似事 始めましょ」","shinya niji sugi  yoi wa sumeta
futon kaburedo noumiso wa sameta
terebi tsukete mo wadai wa kurakura
nemure mo shinai mama asa wo matsu sa
 
are mimi sumashitara nani ka kikoeta
matsuri hayashi ni niita hidoi noizu
awasete shagare koe mado no soto de
「hore zonbi no manegoto hajimemasho」","2am passes and I’ve sobered up.
I’m under the blanket but my brain’s awake.
I turn on the TV but there’s nothing on.
Unable to sleep, I wait for the morning.
 
When I listened closely, I could hear something.
That awful noise sounded just like a festival band.
There was also a hoarse voice outside my window.
“Now – let’s start this zombie act!”","Es ist nach zwei Uhr morgens und ich bin nüchtern.
Ich habe eine Bettdecke über dem Kopf, aber ich bin immer noch nüchtern.
Ich schalte den Fernseher ein und die Nachrichten sind dunkel.
Ich kann nicht schlafen, ich warte nur auf den Morgen.

Oh, ich habe gelauscht und ich habe etwas gehört.
Ich habe etwas gehört, ein schreckliches Geräusch, wie eine Festkapelle.
Und da ist ein dumpfes, dumpfes Geräusch aus dem Fenster.
""Komm, lass uns unser Zombie-Ding machen."""
1,1,17,"nashimotoUi_wanna_die","NASHIMOTO Ui","Shinitagari / Wanna Die","_02",19,"死にたがり 死んでもいーよ
誰も気付いちゃくれやしないよ
死にたがり 死んでもいーよ
どーせみじめだ 死んでもいーよ
 
死にたがり まだ生きてんの
死にたいくせに なぜ生きてんの
死にたがり 死んでもいーよ
死にたいんだろ 死んだらいーよ","shi ni tagari, shinde mo ii yo
dare mo kitsui chakure yashinai yo
shi ni tagari, shinde mo ii yo
douse mijimeda, shinde mo ii yo
 
shi ni tagari, mada ikiten no
shi ni taikuse ni, naze ikiten no
shi ni tagari, shinde mo ii yo
shi ni taindaro, shindara ii yo","You wanna die? Well, go ahead, then
No one will notice, even if you do
You wanna die? Well, go ahead, then
If you're that miserable, then just go ahead and die
 
You wanna die? Yet you're still alive
You say you wanna die, so why are you still alive?
You wanna die? Well, go ahead, then
You keep saying you want to die, so go ahead and do it
already","Ich will sterben. Es ist mir egal, ob ich sterbe.
Keiner wird mich bemerken.
Ich will sterben. Es ist mir egal, ob ich sterbe.
Ich bin sowieso unglücklich. Es ist mir egal, ob ich sterbe.

Du willst sterben, warum bist du noch am Leben?
Du willst sterben, warum bist du noch am Leben?
Du willst sterben, du willst sterben, du kannst sterben!
Du willst sterben, also warum lebst du noch?"
1,2,18,"niki_finger","niki","yubi enpitsu / finger pencil","_01",23,"街の灯の影に
枯れた命 何故に
百合の花がひらり
巡る季節 窓に
 
春は咲く頃に
夏は夢の香り
秋は刹那色に
冬は白い息に","machi no hi no kage ni
kareta inochi, naze ni
yuri no hana ga hirari
meguru kisetsu mado ni
 
haru wa saku goro ni
natsu wa yume no kaori
aki wa setsuna iro ni
fuyu wa shiroi iki ni","In the shadow of the city lights
Withered life, why
Lily flowers are fluttering
Seasons that come and go, at the window.
 
Spring: the time of bloom
Summer: the fragrance of dreams
Autumn: the color of transitions
Winter: the white breath","Im Schatten der Lichter der Stadt
Verwelktes Leben, warum
Die Lilien flattern
Jahreszeiten, die kommen und gehen, am Fenster.

Frühling ist, wenn sie blühen
Der Sommer ist der Duft der Träume
Der Herbst ist die Farbe eines Augenblicks
Der Winter ist der weiße Atem"
,,,,,,"_03",36,"描いた
心の奥の
大切なトコロ
巡る季節を見ていた
全部 でもでも
 
さよなら
立ち尽くす背の
悲しげな声を
今聴いている世界は
何を言うの？
 
描いた
窓にいつでも
透明な声も目も
震えた手も夢も
全部 メモメモ","ka'ita
kokoro no oku no
ta'isetsu na tokoro
meguru kisetsu wo mite ita
zenbu demo demo
 
sayonara
tachi tsukusu se no
kanashige na koe wo
ima ki'ite'iru sekai ha
nani wo iu no？
 
ka'ita
mado ni itsu demo
toumei na koe mo me mo
furu'eta te mo yume mo
zenbu memo memo","Sketched
Deep in the heart
The dearest place
I watched the seasons go by
All of them, but
 
Good-bye
The unmoving ridge
Its sad voice
The world now listening
What does it say?
 
Sketched
In the window at any time
Transparent voices as well as eyes
Trembling hands as well as dreams
All of it written down","Auf dem Bild.
Im Hinterkopf habe ich
Das wichtige tokoro
Ich sah die Jahreszeiten vorbeiziehen
Alle von ihnen, aber...

Auf Wiedersehen
Die Rücken, die stillstehen
Die traurige Stimme der Rücken, die stillstehen
Die Welt, der du jetzt zuhörst
Was sagt sie?

Ich habe gemalt
Im Fenster zu allen Zeiten
Transparente Stimmen und Augen
Deine zitternden Hände, deine Träume.
Ich habe sie alle aufgeschrieben."
1,1,20,"NiTSUKa_DivaOfThunder","NiTSUKa","Banrai no utahime / Diva of thunder","_01",22,"星が降る頃 曇天の空 
黎明前夜 君の隣で 
快晴を待つ 祈りを込める 
感情を詠む 言葉を紡ぐ","hoshi ga furu goro, donten no sora 
reimei zenya, kimi no tonari de 
kaisei wo matsu, inori wo komeru 
kanjou wo yomu, kotoba wo tsumugu","When the stars are falling, Cloudy skies 
On the eve of dawn, next to you 
Waiting for clear skies, Praying 
Compose your feelings, weave your words","Wenn die Sterne fallen Bewölkter Himmel
Am Vorabend der Morgendämmerung, neben dir
Ich warte auf einen klaren Himmel und bete
Komponiere deine Gefühle Webe deine Worte"
1,1,21,"PowaPowa_SykFish","PowaPowa","Sora no sakana / Sky fish","_02",23,"眠る私は思い出す
ステレオな思い出から
眠る私は思い出す　思い出す","nemuru watashi wa, omoi dasu
sutereo na omoide kara
nemuru watashi wa, omoi dasu, omoi dasu","As I sleep, I recall
From stereo memories
Sleeping I remember, remember","Schlafen Ich erinnere mich
Aus Stereo-Erinnerungen
Schlafen Ich erinnere mich Ich erinnere mich"
1,1,22,"regulus_weißerschnee","regulus","Weißer Schnee","_01",30,"瞬く白に溶かして消えゆく
独りぽつりと息を染めて
空に落ちた","[shi]batataku shiro ni tokashite kie yuku
hitori potsuri to iki wo somete
sora ni ochita","dissolving into the [blinking] white and fading away
A solitary breath dyes the air
I fell into the sky","sich im blinkenden Weiß auflösend und verblasst
Eingefärbt mit einem einsamen Innehalten und Atem
fiel ich in den Himmel"
1,1,26,"ryuryu_mathematics","ryuryu","Mathematics","_01",33,"静かにただ眺めていた 誰かが立てた予想を 
単純に見えた景色は色を変えた 
そしてまた繰り返すよ　僕は過ちを重ね 
生まれた意味もわからずに振るえていた","shizukani tada nagamete ita, dareka ga tateta yosou wo 
tanjun ni mieta keshiki wa iro wo kaeta 
soshite mata kuri kaesu yo, boku wa ayamachi wo kasane 
umareta imi mo wakarazu ni furu ete ita","I just watched in silence... the predictions that someone else had made. 
The simple view changed color. 
And I'll do it all over again I've made so many mistakes 
I don't even know why I was born... and I'm still shaking.","In aller Stille beobachtete ich die Vorhersagen, die jemand gemacht hatte.
Der einfache Blick wechselte die Farbe.
Und ich werde es immer wieder tun, einen Fehler nach dem anderen machen.
Ich weiß nicht einmal, was es bedeutet, geboren zu sein, und ich zittere immer noch."
1,1,27,"syudou_dendera","syudou","DenDeRa / Going out","_01",23,"出ん出らりゅうば　出て来るばってん 
追跡　乱闘　24時 
あっけらかんとしてるこの界隈 
さっさと言ってしまえその醜態を 
つっけんどんと後ろからバイバイ 
眼前背面tatooあり 
ノンシガレットは頂けないやい 
だったらいっぱし覚悟を持って","den dera ryuu ba, dete kuru batten
tsuiseki, rantou, ni'juu'yon'ji 
akkerakan to shiteru kono kaiwai 
sassa to itte shimae sono shuutai wo 
tsukkendon to ushiro kara bai bai
ganzen haimen tatoo ari 
non shigaretto wa itadake nai yai 
dattara ippashi gakugo wo motte","If they're coming out, they're coming out. 
Chase, brawl, 24:00. 
It's so easy in this neighborhood. 
Just tell them what an abomination they are. 
say bye-bye from behind with a shove! 
there are tattoos front and back 
non-cigarettes is unacceptable! 
Then be prepared for anything!","Wenn sie rausgehen, werden sie rauskommen.
Verfolgung, Schlägerei, 24 Stunden.
Es ist alles so einfach in diesem Viertel.
Sag ihnen einfach, was für eine Abscheulichkeit sie sind.
Sag tschüss von hinten.
Hinten ist ein Tatoo vor dir.
Ich kann keine Nicht-Zigaretten gebrauchen.
Dann seid auf alles gefasst!"
1,1,28,"tamakiNeko_Hatsukoi","tamaki_neko","Hatsukoi Hydrangea / First love hydrangea","_02",29,"君はきっと隣街の素敵なひとと
恋に落ちているかもしれない
青むらさきの綺麗な思い出だけが
僕の脳裏に都合よく浮かぶ","kimi wa kitto tonari machi no suteki na hito to
koi ni ochite iru kamo shirenai
ao murasaki no kirei na omoide dake ga
boku no nouri ni tsugou yoku ukabu","You may have already found someone sweet in the neighboring city
Only my beautiful memories painted in bluish-purple
Keep appearing conveniently in my daydream","Vielleicht sind Sie in einen netten Kerl aus der nächsten Stadt verliebt.
Du könntest in einen netten Menschen in der nächsten Stadt verliebt sein.
Nur schöne Erinnerungen an Blau und Lila
tauchen bequem in meinem Kopf auf."
1,1,29,"tamakiNeko_NeedToLove","tamaki_neko","Ai no hitsuyou / Need to Love","_01",25,"愛してる 
くちづけでゆれるコスモス 
暗い夜の片隅で ひそか In my heart","ai shiteru 
kuchi dzuke de yureru kosumosu 
kurai yoru no katasumi de, hisoka in my heart","I love you. 
Cosmos (flowers) swaying with a kiss 
In a dark corner of the night, secretly In my heart","Ich liebe dich.
Der Kosmos wiegt sich mit einem Kuss
In einer dunklen Ecke der Nacht, heimlich in meinem Herzen"
1,1,30,"tamakiNeko_shinyDays","tamaki_neko","Shiny days","_01",30,"Morning greets 
I wake up with your voice 
This moment is so sweet 
Precious and lovely 
Ever since you stepped into my life 
The sun has been shining 
Always in my heart
In the dark I was crying like a child 
Hopeless and lost 
Feeling so lonely 
But finally I found the light 
Needless to say it was you Baby",,,"Der Morgen grüßt
Ich wache auf mit deiner Stimme
Dieser Moment ist so süß
Kostbar und schön
Seitdem du in mein Leben getreten bist
Hat die Sonne geschienen
immer in mein Herz
In der Dunkelheit weinte ich wie ein Kind
Hoffnungslos und verloren
Ich fühlte mich so einsam
Aber schließlich fand ich das Licht
Unnötig zu sagen, dass es du warst, Baby"
1,2,31,"tamaz_flutter","tamaz","hirari, hirari / flutter, flutter","_01",23,"季節　繰り返すたび 
ほつれてく絆を 
つよく、つよく抱きしめて 
なくさぬよう","kisetsu kuri kaesu tabi 
hotsureteku kizuna wo 
tsuyoku, tsuyoku daki shimete 
nakusanu you","As the seasons repeat, 
the ties that become frayed 
Strongly, strongly embrace them
So that they won't be lost","Jahreszeiten, jede Jahreszeit wiederholt sich.
Die Bande, die ausgefranst sind
Halt dich fest, halt dich fest
Damit wir sie nicht verlieren"
,,,,,,"_02",23,"抱えた言葉の重たさに 
動けなくなって 
ただ　暖かな夢に溺れてた 
気付けば　きみを見失い","kakaeta kotoba no omotasa ni 
ugokenaku natte 
tada, atataka'na yume ni oboreteta 
ki'dzuke ba, kimi wo mi'uchinai","from the heaviness of the words that I carried 
I became unable to move, 
merely, wallowing in a warm dream 
when I woke, I lost sight of you","Das Gewicht der Worte, an denen ich mich festhielt.
Ich konnte mich nicht bewegen.
Ich ertrank einfach in warmen Träumen.
Und dann wurde mir klar, dass ich dich verloren hatte."
1,2,32,"tennen_ashesToAshes","ten'nen","HaiHaHaiNi / Ashes to Ashes","_01",15,"さらば　現身の華　露と消えぬ","saraba, utsushimi no hana, tsuyu to kienu","Farewell. A bloom of self in the present. It shall disappear like a dew.","Lebe wohl, Blume dieses Lebens, verschwunden wie der Tau."
